name,d2018,d2017,d2016,industry,coding,T_ind,market_value
日本水産(株)【1332】,18079,22834,21685,水産・農林業,1332,水産・農林業,"201,518"
マルハニチロ(株)【1333】,16208,17079,21758,水産・農林業,1333,水産・農林業,"136,539"
(株)ミライト・ホールディングス【1417】,30129,21993,20699,建設業,1417,建設業,"237,449"
(株)ＩＮＰＥＸ【1605】,248471,498641,474281,鉱業,1605,鉱業,"1,390,670"
安藤ハザマ【1719】,27357,24699,23692,建設業,1719,建設業,"154,064"
東急建設(株)【1720】,3549,20315,21987,建設業,1720,建設業,"86,370"
コムシスホールディングス(株)【1721】,41572,38953,35267,建設業,1721,建設業,"405,093"
東建コーポレーション(株)【1766】,15562,12819,15606,建設業,1766,建設業,"127,041"
大成建設(株)【1801】,130516,167755,153323,建設業,1801,建設業,"816,207"
(株)大林組【1802】,123161,152871,155480,建設業,1802,建設業,"699,143"
清水建設(株)【1803】,100151,133894,129724,建設業,1803,建設業,"675,757"
(株)長谷工コーポレーション【1808】,72909,85925,98430,建設業,1808,建設業,"446,980"
鹿島【1812】,127298,131987,142622,建設業,1812,建設業,"759,150"
西松建設(株)【1820】,20950,25313,24928,建設業,1820,建設業,"189,011"
三井住友建設(株)【1821】,15584,24765,29217,建設業,1821,建設業,"80,035"
前田建設工業(株)【1824】,46343,34045,35944,建設業,1824,建設業,"174,953"
戸田建設(株)【1860】,27697,35243,34518,建設業,1860,建設業,"237,153"
(株)熊谷組【1861】,28069,25440,26464,建設業,1861,建設業,"131,103"
大東建託(株)【1878】,86738,127956,127047,建設業,1878,建設業,"938,676"
(株)ＮＩＰＰＯ【1881】,44697,36227,38656,建設業,1881,建設業,"481,786"
五洋建設(株)【1893】,30460,33161,29232,建設業,1893,建設業,"221,375"
住友林業(株)【1911】,47462,51377,49247,建設業,1911,建設業,"422,321"
大和ハウス工業(株)【1925】,357121,381114,372195,建設業,1925,建設業,"2,479,739"
積水ハウス(株)【1928】,186519,205256,189223,建設業,1928,建設業,"1,590,177"
(株)関電工【1942】,30041,34693,30012,建設業,1942,建設業,"184,349"
エクシオグループ(株)【1951】,36623,31100,31716,建設業,1951,建設業,"311,849"
(株)九電工【1959】,32998,36022,36747,建設業,1959,建設業,"251,925"
日揮ホールディングス(株)【1963】,22880,20234,23249,建設業,1963,建設業,"287,345"
ＮＥＣネッツエスアイ(株)【1973】,25563,16245,12774,情報・通信,1973,情報・通信,"306,258"
(株)日清製粉グループ本社【2002】,27197,28852,26916,食料品,2002,食料品,"545,105"
(株)ミクシィ【2121】,22928,17165,41033,サービス業,2121,サービス業,"208,172"
(株)日本Ｍ＆Ａセンターホールディングス【2127】,16408,14247,12533,サービス業,2127,サービス業,"1,179,632"
ＵＴグループ(株)【2146】,7163,8040,8083,サービス業,2146,サービス業,"141,674"
(株)エス・エム・エス【2175】,5470,4935,4743,サービス業,2175,サービス業,"379,447"
パーソルホールディングス(株)【2181】,26439,39085,44111,サービス業,2181,サービス業,"685,734"
森永製菓(株)【2201】,19162,21230,20217,食料品,2201,食料品,"215,404"
カルビー(株)【2229】,27064,27664,26964,食料品,2229,食料品,"365,494"
森永乳業(株)【2264】,28867,25359,22331,食料品,2264,食料品,"332,468"
(株)ヤクルト本社【2267】,43694,45675,45846,食料品,2267,食料品,"981,801"
明治ホールディングス(株)【2269】,106061,102708,98383,食料品,2269,食料品,"1,073,364"
プリマハム(株)【2281】,21475,15636,13168,食料品,2281,食料品,"136,921"
日本ハム(株)【2282】,47060,28302,31483,食料品,2282,食料品,"412,865"
(株)システナ【2317】,8006,8163,6902,情報・通信,2317,情報・通信,"239,643"
日鉄ソリューションズ(株)【2327】,24549,28387,25385,情報・通信,2327,情報・通信,"342,214"
ＡＬＳＯＫ【2331】,37182,36795,32280,サービス業,2331,サービス業,"507,139"
いちご(株)【2337】,9668,27721,26279,不動産業,2337,不動産業,"168,797"
(株)カカクコム【2371】,18295,27217,25070,サービス業,2371,サービス業,"754,473"
ディップ(株)【2379】,7312,,12745,サービス業,2379,サービス業,"246,875"
(株)ベネフィット・ワン【2412】,9774,8394,7641,サービス業,2412,サービス業,"878,235"
エムスリー(株)【2413】,57972,34337,30800,サービス業,2413,サービス業,"5,021,199"
(株)アウトソーシング【2427】,14337,15501,15073,サービス業,2427,サービス業,"254,120"
(株)ディー・エヌ・エー【2432】,22495,-45676,13512,サービス業,2432,サービス業,"280,474"
(株)博報堂ＤＹホールディングス【2433】,45033,55131,65392,サービス業,2433,サービス業,"723,412"
サッポロホールディングス(株)【2501】,-15938,12208,10828,食料品,2501,食料品,"196,828"
アサヒグループホールディングス(株)【2502】,135167,201436,211772,食料品,2502,食料品,"2,577,605"
キリンホールディングス(株)【2503】,102919,87727,198322,食料品,2503,食料品,"1,832,570"
宝ホールディングス(株)【2531】,21595,15836,17804,食料品,2531,食料品,"312,929"
サントリー食品インターナショナル(株)【2587】,96177,113948,113557,食料品,2587,食料品,"1,364,235"
(株)伊藤園【2593】,16675,19940,22819,食料品,2593,食料品,"636,976"
(株)ローソン【2651】,40876,62943,60781,小売業,2651,小売業,"534,599"
(株)エービーシー・マート【2670】,19513,43374,43929,小売業,2670,小売業,"463,873"
日本マクドナルドホールディングス(株)【2702】,31290,28018,25045,小売業,2702,小売業,"675,437"
双日(株)【2768】,25903,54781,69999,卸売業,2768,卸売業,"474,318"
(株)セリア【2782】,,,,小売業,2782,小売業,"288,571"
アルフレッサ　ホールディングス(株)【2784】,20672,47645,44770,卸売業,2784,卸売業,"384,959"
キッコーマン(株)【2801】,41672,39826,38417,食料品,2801,食料品,"1,764,337"
味の素(株)【2802】,101121,48773,53149,食料品,2802,食料品,"1,839,148"
キユーピー(株)【2809】,28303,32048,33067,食料品,2809,食料品,"351,486"
カゴメ(株)【2811】,10682,14079,12000,食料品,2811,食料品,"268,380"
アリアケジャパン(株)【2815】,10046,11789,11949,食料品,2815,食料品,"236,879"
(株)ニチレイ【2871】,32949,31035,29511,食料品,2871,食料品,"389,455"
東洋水産(株)【2875】,36460,28348,23661,食料品,2875,食料品,"525,022"
日清食品ホールディングス(株)【2897】,55532,41252,28967,食料品,2897,食料品,"922,761"
ＪＴ【2914】,469054,502355,564984,食料品,2914,食料品,"4,502,000"
ヒューリック(株)【3003】,100596,88353,75564,不動産業,3003,不動産業,"839,895"
(株)神戸物産【3038】,23851,19239,15722,卸売業,3038,卸売業,"1,053,360"
(株)ビックカメラ【3048】,18217,12066,22943,小売業,3048,小売業,"186,077"
(株)ＭｏｎｏｔａＲＯ【3064】,19607,15839,13790,小売業,3064,小売業,"1,293,791"
Ｊ．フロント　リテイリング(株)【3086】,-24265,40286,40891,小売業,3086,小売業,"285,176"
(株)マツキヨココカラ＆カンパニー【3088】,31533,37563,36028,小売業,3088,小売業,"717,693"
(株)ＺＯＺＯ【3092】,44144,27888,25654,小売業,3092,小売業,"1,308,906"
(株)三越伊勢丹ホールディングス【3099】,-20976,15679,29229,小売業,3099,小売業,"326,045"
東洋紡(株)【3101】,26657,22794,21727,繊維製品,3101,繊維製品,"121,374"
ユニチカ(株)【3103】,6018,5467,8144,繊維製品,3103,繊維製品,"20,849"
ダイワボウホールディングス(株)【3107】,35028,32841,22709,卸売業,3107,卸売業,"186,642"
トヨタ紡織(株)【3116】,57103,47785,61257,輸送用機器,3116,輸送用機器,"392,034"
ウエルシアホールディングス(株)【3141】,42974,37801,29045,小売業,3141,小売業,"869,980"
(株)クリエイトＳＤホールディングス【3148】,18629,17793,14241,小売業,3148,小売業,"239,213"
(株)ＴＯＫＡＩホールディングス【3167】,15226,14224,13057,卸売業,3167,卸売業,"124,036"
野村不動産ホールディングス(株)【3231】,76333,81905,79162,不動産業,3231,不動産業,"521,954"
サムティ(株)【3244】,17355,15395,14033,不動産業,3244,不動産業,"111,059"
(株)プレサンスコーポレーション【3254】,29762,32609,27118,不動産業,3254,不動産業,"128,214"
(株)オープンハウス【3288】,62129,57781,47304,不動産業,3288,不動産業,"870,207"
東急不動産ホールディングス(株)【3289】,56517,79312,80205,不動産業,3289,不動産業,"477,248"
飯田グループホールディングス(株)【3291】,121263,83513,97111,不動産業,3291,不動産業,"829,119"
(株)コスモス薬品【3349】,33147,29094,24775,小売業,3349,小売業,"702,014"
シップヘルスケアホールディングス(株)【3360】,21800,18794,17952,卸売業,3360,卸売業,"293,113"
(株)セブン＆アイ・ホールディングス【3382】,366329,424266,411596,小売業,3382,小売業,"4,206,167"
(株)ツルハホールディングス【3391】,48377,45013,41826,小売業,3391,小売業,"682,179"
帝人(株)【3401】,54931,56205,60000,繊維製品,3401,繊維製品,"308,808"
東レ(株)【3402】,55879,131186,141469,繊維製品,3402,繊維製品,"1,155,089"
(株)クラレ【3405】,44341,54173,65794,化学,3405,化学,"371,897"
旭化成(株)【3407】,171808,177264,209587,化学,3407,化学,"1,693,627"
(株)ＳＵＭＣＯ【3436】,37897,50636,85165,金属製品,3436,金属製品,"752,526"
(株)コメダホールディングス【3543】,5511,7878,7568,卸売業,3543,卸売業,"95,138"
(株)クスリのアオキホールディングス【3549】,16619,16359,14147,小売業,3549,小売業,"236,810"
(株)ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ【3563】,12061,14546,11718,小売業,3563,小売業,"572,801"
ＴＩＳ(株)【3626】,45748,44839,38043,情報・通信,3626,情報・通信,"773,576"
(株)コーエーテクモホールディングス【3635】,24397,14102,12092,情報・通信,3635,情報・通信,"868,811"
(株)ネクソン【3659】,111450,94525,98360,情報・通信,3659,情報・通信,"1,788,567"
(株)ティーガイア【3738】,14050,13726,15382,情報・通信,3738,情報・通信,"114,896"
ガンホー・オンライン・エンターテイメント(株)【3765】,30157,28349,26577,情報・通信,3765,情報・通信,"202,608"
