d2021,d2020,d2019,d2018,d2017,industry,coding,title,market_value,returns_ratio,min_callshares
14452,14768,15379,17234,14216,水産・農林業,1332,日本水産(株),"201,518",1.47,"64,500"
5778,12537,16695,16102,15446,水産・農林業,1333,マルハニチロ(株),"136,539",1.54,"259,300"
24205,15220,25711,11504,6437,建設業,1417,(株)ミライト・ホールディングス,"237,449",2.28,"219,200"
223048,－111699,123550,96106,40362,鉱業,1605,(株)ＩＮＰＥＸ,"1,390,670",4.21,"95,100"
17189,16803,8862,23862,26277,建設業,1719,安藤ハザマ,"154,064",3.90,"76,900"
2647,14903,15504,16118,13691,建設業,1720,東急建設(株),"86,370",4.94,"80,900"
29369,25994,28018,20390,14485,建設業,1721,コムシスホールディングス(株),"405,093",3.31,"287,300"
10080,8606,10832,12583,12331,建設業,1766,東建コーポレーション(株),"127,041",2.65,"943,000"
92554,122087,112571,126788,90566,建設業,1801,大成建設(株),"816,207",3.58,"363,500"
98780,113093,113155,92662,94501,建設業,1802,(株)大林組,"699,143",3.30,"96,900"
77176,98977,99668,84978,98946,建設業,1803,清水建設(株),"675,757",2.68,"85,700"
48258,59851,87391,72289,58762,建設業,1808,(株)長谷工コーポレーション,"446,980",4.71,"148,600"
98522,103242,109839,126778,104857,建設業,1812,鹿島,"759,150",3.76,"143,600"
17166,18721,18784,16914,19210,建設業,1820,西松建設(株),"189,011",5.44,"340,000"
8743,15550,18828,20723,17035,建設業,1821,三井住友建設(株),"80,035",4.07,"49,200"
19735,25845,25595,25455,42091,建設業,1860,戸田建設(株),"237,153",2.72,"73,500"
17925,19447,13312,15783,16433,建設業,1861,(株)熊谷組,"131,103",4.28,"280,100"
62285,90380,89930,87829,82168,建設業,1878,大東建託(株),"938,676",3.47,"1,362,000"
31068,23594,25514,26610,28518,建設業,1881,(株)ＮＩＰＰＯ,"481,786",0.00,"403,500"
20993,23352,18899,17826,15271,建設業,1893,五洋建設(株),"221,375",2.97,"77,400"
30398,27853,29160,30135,34532,建設業,1911,住友林業(株),"422,321",3.33,"209,900"
195076,233603,237439,236357,201700,建設業,1925,大和ハウス工業(株),"2,479,739",3.39,"372,200"
123542,141256,128582,133224,121853,建設業,1928,積水ハウス(株),"1,590,177",3.79,"232,250"
20147,22515,19703,19058,17591,建設業,1942,(株)関電工,"184,349",3.12,"89,800"
24192,15603,40219,17993,13789,建設業,1951,エクシオグループ(株),"311,849",3.32,"264,700"
25042,26245,26691,25296,22297,建設業,1959,(株)九電工,"251,925",2.81,"355,500"
5141,4117,24005,16589,－22057,建設業,1963,日揮ホールディングス(株),"287,345",1.35,"110,800"
15745,9422,8885,7357,6549,情報・通信,1973,ＮＥＣネッツエスアイ(株),"306,258",1.85,"205,100"
19011,22407,22268,21339,19466,食料品,2002,(株)日清製粉グループ本社,"545,105",2.18,"179,100"
15692,10760,26521,41788,59867,サービス業,2121,(株)ミクシィ,"208,172",4.13,"266,100"
11415,10273,8867,8146,6174,サービス業,2127,(株)日本Ｍ＆Ａセンターホールディングス,"1,179,632",0.51,"350,500"
4299,4509,4968,3534,2033,サービス業,2146,ＵＴグループ(株),"141,674",---,"351,000"
4800,4760,4216,3361,2801,サービス業,2175,(株)エス・エム・エス,"379,447",---,"435,500"
15834,7612,24361,7769,17820,サービス業,2181,パーソルホールディングス(株),"685,734",---,"289,700"
13405,10824,12816,10289,11115,食料品,2201,森永製菓(株),"215,404",2.01,"397,500"
17682,17539,19429,17330,18605,食料品,2229,カルビー(株),"365,494",1.91,"272,900"
18741,18656,14017,15781,13202,食料品,2264,森永乳業(株),"332,468",1.05,"667,000"
39267,39735,34935,34064,30154,食料品,2267,(株)ヤクルト本社,"981,801",1.08,"574,000"
65655,67318,61868,61278,60786,食料品,2269,明治ホールディングス(株),"1,073,364",2.28,"703,000"
14165,8823,8287,10413,10009,食料品,2281,プリマハム(株),"136,921",2.40,"271,000"
32616,19214,19561,37552,35004,食料品,2282,日本ハム(株),"412,865",2.49,"401,000"
4974,5471,4584,3542,2197,情報・通信,2317,(株)システナ,"239,643",0.94,"212,600"
16982,18552,16713,14105,13671,情報・通信,2327,日鉄ソリューションズ(株),"342,214",1.50,"374,000"
25014,24163,22269,19344,18330,サービス業,2331,ＡＬＳＯＫ,"507,139",1.53,"497,000"
5027,8201,15373,14018,14894,不動産業,2337,いちご(株),"168,797",2.10,"33,400"
11763,18348,16697,15699,14812,サービス業,2371,(株)カカクコム,"754,473",1.10,"365,000"
607,10012,8910,7531,6167,サービス業,2379,ディップ(株),"246,875",1.49,"410,500"
6766,5641,5176,4190,3855,サービス業,2412,(株)ベネフィット・ワン,"878,235",0.66,"549,000"
37822,21635,19577,18127,16004,サービス業,2413,エムスリー(株),"5,021,199",---,"739,700"
1938,7330,7480,6180,3037,サービス業,2427,(株)アウトソーシング,"254,120",1.54,"201,800"
25630,－49166,12709,22981,30826,サービス業,2432,(株)ディー・エヌ・エー,"280,474",---,"215,400"
26479,44893,47235,29834,25880,サービス業,2433,(株)博報堂ＤＹホールディングス,"723,412",1.62,"185,700"
12331,－16071,4356,8521,7187,食料品,2501,サッポロホールディングス(株),"196,828",1.68,"249,800"
92826,142207,151077,141003,89221,食料品,2502,アサヒグループホールディングス(株),"2,577,605",2.14,"508,400"
71935,59642,164202,241991,148918,食料品,2503,キリンホールディングス(株),"1,832,570",3.24,"200,500"
10574,8980,10411,11029,8480,食料品,2531,宝ホールディングス(株),"312,929",1.53,"156,700"
52212,68888,80024,78112,71501,食料品,2587,サントリー食品インターナショナル(株),"1,364,235",1.77,"441,500"
7011,7793,14462,12553,13693,食料品,2593,(株)伊藤園,"636,976",0.56,"714,000"
8689,20108,25585,26828,36400,小売業,2651,(株)ローソン,"534,599",2.81,"533,000"
19226,29706,30285,29714,28365,小売業,2670,(株)エービーシー・マート,"463,873",3.02,"562,000"
27001,60821,70419,56842,40760,卸売業,2768,双日(株),"474,318",3.69,"189,500"
24501,40273,41724,35589,30893,卸売業,2784,アルフレッサ　ホールディングス(株),"384,959",3.30,"163,800"
31159,26827,25992,23846,23810,食料品,2801,キッコーマン(株),"1,764,337",0.49,"910,000"
59416,18837,29698,60124,53065,食料品,2802,味の素(株),"1,839,148",1.31,"334,900"
18014,11591,18698,18320,18099,食料品,2809,キユーピー(株),"351,486",1.81,"248,400"
9763,7425,10198,8998,10100,食料品,2811,カゴメ(株),"268,380",1.30,"284,400"
7277,8375,16677,8099,7585,食料品,2815,アリアケジャパン(株),"236,879",1.07,"722,000"
21212,19609,19943,19097,18751,食料品,2871,(株)ニチレイ,"389,455",1.80,"278,100"
29070,23379,18438,18431,20837,食料品,2875,東洋水産(株),"525,022",1.90,"473,500"
40828,29316,19356,29134,23558,食料品,2897,日清食品ホールディングス(株),"922,761",1.49,"873,000"
310253,348190,385677,392409,421695,食料品,2914,ＪＴ,"4,502,000",5.78,"225,100"
69564,63619,58805,49515,42402,不動産業,3003,ヒューリック(株),"839,895",3.43,"110,700"
19592,15047,12056,10363,8346,卸売業,3038,(株)神戸物産,"1,053,360",0.52,"385,000"
8761,5450,14047,17122,13505,小売業,3048,(株)ビックカメラ,"186,077",1.52,"98,900"
17552,13771,10984,9515,8464,小売業,3064,(株)ＭｏｎｏｔａＲＯ,"1,293,791",0.45,"258,100"
－26193,21251,27358,28486,27052,小売業,3086,Ｊ．フロント　リテイリング(株),"285,176",2.75,"105,400"
21568,26176,25035,22755,20119,小売業,3088,(株)マツキヨココカラ＆カンパニー,"717,693",1.39,"502,000"
30932,18804,15985,20156,17035,小売業,3092,(株)ＺＯＺＯ,"1,308,906",1.31,"420,000"
－41078,－11187,13480,－960,14976,小売業,3099,(株)三越伊勢丹ホールディングス,"326,045",1.22,"82,200"
4202,13774,－603,13044,9444,繊維製品,3101,東洋紡(株),"121,374",2.93,"136,300"
3864,－2158,5232,8081,7389,繊維製品,3103,ユニチカ(株),"20,849",0.00,"36,100"
25715,21178,16775,10531,7469,卸売業,3107,ダイワボウホールディングス(株),"186,642",3.10,"193,700"
31188,24786,27457,44818,45359,輸送用機器,3116,トヨタ紡織(株),"392,034",3.06,"208,900"
27999,22802,17423,17166,14451,小売業,3141,ウエルシアホールディングス(株),"869,980",0.72,"415,000"
12376,12254,9719,9540,10119,小売業,3148,(株)クリエイトＳＤホールディングス,"239,213",1.28,"358,000"
8815,8241,7772,6620,7337,卸売業,3167,(株)ＴＯＫＡＩホールディングス,"124,036",3.38,"88,800"
42198,48886,45873,46029,47005,不動産業,3231,野村不動産ホールディングス(株),"521,954",2.97,"286,000"
10012,10615,9740,8489,5661,不動産業,3244,サムティ(株),"111,059",3.77,"239,000"
9121,20533,21892,18296,13757,不動産業,3254,(株)プレサンスコーポレーション,"128,214",0.86,"186,200"
69582,59491,39407,31806,24797,不動産業,3288,(株)オープンハウス,"870,207",1.62,"690,000"
21668,38611,37459,35185,31518,不動産業,3289,東急不動産ホールディングス(株),"477,248",2.41,"66,300"
83316,53752,65469,69542,76741,不動産業,3291,飯田グループホールディングス(株),"829,119",3.20,"281,600"
27156,21435,19185,17633,18215,小売業,3349,(株)コスモス薬品,"702,014",0.46,"1,755,000"
12280,11803,11236,10350,9410,卸売業,3360,シップヘルスケアホールディングス(株),"293,113",1.42,"288,300"
179262,218185,203004,181150,96750,小売業,3382,(株)セブン＆アイ・ホールディングス,"4,206,167",2.11,"474,500"
26283,27899,24824,24798,23232,小売業,3391,(株)ツルハホールディングス,"682,179",1.21,"1,380,000"
－6662,25252,45057,45556,50133,繊維製品,3401,帝人(株),"308,808",3.53,"156,000"
45794,84230,79373,95915,99418,繊維製品,3402,東レ(株),"1,155,089",2.26,"70,800"
37262,2570,－1956,33560,54459,化学,3405,(株)クラレ,"371,897",3.82,"104,800"
79768,103931,147512,170248,115000,化学,3407,旭化成(株),"1,693,627",2.80,"121,500"
41120,25505,33112,58580,27016,金属製品,3436,(株)ＳＵＭＣＯ,"752,526",---,"214,900"
3590,5376,5117,4905,4508,卸売業,3543,(株)コメダホールディングス,"95,138",2.47,"206,200"
12062,12416,10648,8823,8181,小売業,3549,(株)クスリのアオキホールディングス,"236,810",0.35,"751,000"
13185,6457,9959,7991,6952,小売業,3563,(株)ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,"572,801",0.46,"493,500"
27692,29411,26034,20620,16306,情報・通信,3626,ＴＩＳ(株),"773,576",1.30,"308,000"
29550,15306,13694,13017,11624,情報・通信,3635,(株)コーエーテクモホールディングス,"868,811",1.57,"517,000"
114888,56220,115664,107672,56750,情報・通信,3659,(株)ネクソン,"1,788,567",0.25,"199,300"
13042,12628,13842,10161,9694,情報・通信,3738,(株)ティーガイア,"114,896",3.66,"204,900"
16369,18146,16585,22397,27911,情報・通信,3765,ガンホー・オンライン・エンターテイメント(株),"202,608",---,"212,800"
8818,7624,5267,4255,2420,情報・通信,3769,ＧＭＯペイメントゲートウェイ(株),"1,102,429",0.38,"1,440,000"
49635,58181,51977,36222,40270,パルプ・紙,3861,王子ホールディングス(株),"570,083",2.49,"56,200"
3196,14212,－35220,7847,8399,パルプ・紙,3863,日本製紙(株),"136,367",3.41,"117,300"
22115,19199,4697,3971,12136,パルプ・紙,3880,大王製紙(株),"333,293",1.01,"197,200"
2936,799,1018,874,731,情報・通信,3923,(株)ラクス,"612,510",0.06,"338,000"
6345,6620,7858,6084,3291,情報・通信,3932,(株)アカツキ,"44,968",---,"319,000"
28599,27790,17163,16622,13876,パルプ・紙,3941,レンゴー(株),"234,192",2.78,"86,400"
－76304,73088,111503,37404,12305,化学,4004,昭和電工(株),"532,516",2.26,"288,000"
46043,30926,117992,133768,76540,化学,4005,住友化学(株),"956,848",3.46,"57,800"
33470,30779,29372,27142,24026,化学,4021,日産化学(株),"905,190",1.71,"633,000"
63276,55550,78133,88795,75664,化学,4042,東ソー(株),"625,131",3.12,"192,300"
24534,19937,34279,19698,52165,化学,4043,(株)トクヤマ,"144,825",3.48,"200,900"
22785,22703,25046,23035,18145,化学,4061,デンカ(株),"336,069",3.56,"379,500"
293732,314027,309125,266235,175912,化学,4063,信越化学工業(株),"7,968,676",1.57,"1,912,500"
27367,30430,28815,25173,22337,化学,4088,エア・ウォーター(株),"393,800",2.57,"171,400"
55214,53340,41291,48919,34740,化学,4091,日本酸素ホールディングス(株),"1,140,333",1.22,"263,300"
52347,47027,67084,54414,42899,医薬品,4151,協和キリン(株),"1,992,600",1.25,"369,000"
36070,21158,55000,60531,48013,化学,4182,三菱ガス化学(株),"531,616",3.40,"235,500"
57873,33970,76115,71585,64839,化学,4183,三井化学(株),"712,194",3.16,"348,000"
－7557,54077,169530,211788,156259,化学,4188,(株)三菱ケミカルホールディングス,"1,453,568",2.49,"96,500"
19713,4978,35301,37062,43198,化学,4202,(株)ダイセル,"260,531",3.72,"86,000"
41544,59181,66093,63459,60850,化学,4204,積水化学工業(株),"838,811",2.75,"177,900"
27716,20201,18458,13056,23152,化学,4205,日本ゼオン(株),"347,079",1.64,"146,400"
10759,12732,13316,11996,11064,化学,4206,アイカ工業(株),"241,299",3.03,"357,000"
22936,22976,32499,31680,24185,化学,4208,宇部興産(株),"232,047",4.12,"218,500"
52867,58195,50931,55145,45064,情報・通信,4307,(株)野村総合研究所,"2,567,979",0.90,"420,500"
－159596,－80893,90316,105478,83501,サービス業,4324,(株)電通グループ,"1,188,249",2.45,"412,000"
6276,5543,4783,4640,3261,情報・通信,4348,インフォコム(株),"137,030",1.68,"237,900"
23302,21140,22034,19913,17586,化学,4403,日油(株),"465,569",1.42,"562,000"
109636,126142,148213,153698,147010,化学,4452,花王(株),"3,035,725",2.25,"639,100"
376005,44241,135192,186886,114940,医薬品,4502,武田薬品工業(株),"5,067,955",5.62,"320,300"
120589,195411,222265,164679,218701,医薬品,4503,アステラス製薬(株),"3,644,448",2.55,"195,750"
